food_name,calories,protein_g,fat_g,carbs_g,fibre_g
"Breakfast cereal, whole wheat, flakes, dried fruit & nuts, added vitamins & minerals (Uncle Toby's Fibre Plus)",356.1185468451243,9.1,3.3,65.6,15.5
"Breakfast cereal, wheat bran, flakes, sultanas, added vitamins & minerals (Kellogg's Sultana Bran)",332.4569789674952,9.8,1.5,63.3,14.8
"Muesli, granola, toasted, added nuts & seeds, unfortified",424.4741873804971,11.2,17.6,52.3,7.6
"Muesli, granola, non-oat based, toasted, added nuts & seeds, unfortified",442.3996175908222,11.9,18.8,53.5,6.6
"Muesli, toasted, added dried fruit & nuts, unfortified",401.52963671128106,8.9,13.3,56.6,11.4
"Muesli, untoasted or natural style, added dried fruit, unfortified",393.4034416826004,10.8,10.8,59.2,9.4
"Porridge, rolled oats, prepared with water",89.38814531548756,3.0,2.9,11.4,2.9
"Porridge, rolled oats, prepared with regular fat cow's milk",125.95602294455067,5.3,4.9,14.5,1.6
"Porridge, rolled oats mixed with sugar or honey & other flavours, prepared with cow's milk",139.81835564053537,4.6,4.4,19.8,1.7
"Bread, banana, commercial",293.4990439770554,5.7,11.1,43.1,1.5
"Bread, banana, homemade",334.6080305927342,5.3,12.7,50.0,1.3
"Slice, brownie, chocolate, without nuts, commercial",414.67495219885274,7.1,23.1,45.6,2.6
"Slice, brownie, chocolate, with nuts, homemade",461.0420650095602,6.5,25.5,52.7,1.9
"Slice, caramel",443.5946462715105,5.3,24.6,52.4,0.8
"Cake mix, plain, dry powder",383.1261950286807,4.8,8.2,73.5,1.4
"Cake, carrot, commercial, iced",387.189292543021,4.4,20.4,47.6,1.5
"Cake, carrot, homemade, uniced",342.4952198852772,4.8,16.0,45.3,2.1
"Cake, carrot, homemade, iced",344.6462715105162,3.9,15.0,49.5,1.7
"Cake, chocolate, homemade, uniced",372.848948374761,7.9,19.4,41.3,2.9
"Cake, chocolate, homemade, iced",372.848948374761,6.6,18.0,46.4,2.6
"Cake, fruit, homemade, uniced",307.3613766730401,3.8,10.0,49.4,2.8
"Cake, lamington, unfilled",294.6940726577438,4.7,9.4,48.0,2.4
"Cake, mud, dark chocolate, commercial, chocolate ganache icing",353.7284894837476,5.1,15.6,48.7,2.6
"Cake, mud, dark chocolate, homemade, uniced",456.26195028680684,5.6,34.6,32.5,0.5
"Cake, mud, dark chocolate, homemade, chocolate ganache icing",461.2810707456979,5.2,34.1,35.5,0.6
"Cake, plain butter cake, commercial, uniced",355.1625239005736,8.2,15.2,46.9,1.3
"Cake, plain butter cake, commercial, iced",371.6539196940726,5.0,16.1,52.7,1.4
"Cake, plain butter cake, homemade, uniced",380.49713193116634,6.7,16.3,52.5,0.9
"Cake, plain butter cake, homemade, iced",375.0,5.4,15.2,55.2,0.7
"Cake, sponge, plain, commercial, uniced, unfilled",327.43785850860417,7.5,8.2,56.5,1.2
"Cake, sponge, plain, commercial, uniced, filled with jam & cream",364.7227533460803,6.7,12.2,58.0,1.2
"Cake or cupcake, sponge, plain, commercial, iced, unfilled",357.79158699808795,5.0,11.0,61.6,0.7
"Muffin, cake-style, berry, commercial",336.52007648183553,5.2,15.6,44.4,1.9
"Muffin, cake-style, chocolate chip, commercial",374.52198852772466,6.4,17.7,48.1,1.4
"Doughnut, dusted with cinnamon & sugar",378.34608030592733,6.6,19.5,43.9,2.0
"Doughnut, iced",362.5717017208413,6.7,15.9,48.2,1.7
"Doughnut, jam filled, sugar coated",366.8738049713193,6.0,17.6,46.2,1.9
"Pancake, plain, homemade",221.55831739961758,7.4,7.6,30.3,0.8
"Pikelet, plain, homemade",277.24665391969404,7.5,5.9,47.9,1.7
"Pikelet or pancake, sweet, commercial",217.97323135755258,5.7,4.3,38.4,2.1
"Pudding, chocolate, homemade",184.2734225621415,3.6,2.6,37.0,1.1
"Pudding, plum, steamed or boiled, homemade",334.1300191204589,4.3,11.1,54.1,2.4
"Pudding, sticky date, homemade",352.2944550669216,3.0,16.8,48.5,1.6
"Scone, plain, commercial",334.3690248565965,7.9,8.5,55.2,2.1
"Scone, plain, homemade",323.37476099426385,8.0,9.5,50.7,1.4
"Scone, fruit, commercial",327.1988527724665,6.4,6.6,59.9,2.5
"Scone, pumpkin, homemade",291.3479923518164,7.4,7.4,47.9,1.7
"Amaranth, grain, whole, uncooked",364.96175908221795,15.2,6.4,55.6,11.1
"Barley, pearl, uncooked",340.3441682600382,9.9,3.1,60.6,13.1
"Barley, pearl, boiled, no added fat or salt",141.0133843212237,4.1,1.3,25.1,5.4
"Buckwheat groats, uncooked",326.0038240917782,12.8,3.2,58.0,5.0
"Buckwheat groats, cooked in water, no added salt",69.31166347992351,2.7,0.7,12.3,1.1
"Bulgur, uncooked",342.7342256214149,10.3,2.0,66.1,7.8
"Bulgur, soaked in water, no added fat or salt",180.68833652007646,5.4,1.3,34.4,4.1
"Sago, dry, uncooked",350.8604206500956,0.2,0.2,85.5,0.4
"Sago, cooked in water, no added salt",55.21032504780114,0.0,0.0,13.5,0.1
"Cornmeal (polenta), uncooked",339.6271510516252,8.5,1.7,70.0,3.0
