food_name,calories,protein_g,fat_g,carbs_g,fibre_g
breadsticks,103.0,3.0,2.4,17.1,0.8
milk crackers,50.0,0.8,1.7,7.7,0.2
matzo crackers whole wheat,98.0,3.7,0.4,22.1,3.3
matzo crackers with egg,109.0,3.4,0.6,22.0,0.8
granola bites,23.0,0.4,0.9,3.3,0.3
crackers whole wheat,120.0,3.0,4.0,19.5,2.9
tropical trail mix,619.0,8.8,23.9,91.8,0.0
soft pretzels,389.0,9.4,3.6,79.8,2.0
corn tostada shell,58.0,0.8,2.9,7.9,0.7
matzo crackers,111.0,2.8,0.4,23.4,0.8
sesame crunch,9.0,0.2,0.6,0.9,0.1
trail mix with chocolate chips,707.0,20.7,46.6,65.6,0.0
cracker meal,440.0,10.7,2.0,93.0,3.0
puffed rice,153.0,2.4,0.2,34.1,0.6
filinchen gutena,19.0,0.4,0.2,0.5,0.0
melba toast crackers,117.0,3.6,1.0,23.0,1.9
matzo crackers with egg onion,109.0,2.8,1.1,21.6,1.4
cornnuts,126.0,2.4,4.4,20.3,2.0
bagel chips,789.0,21.6,26.5,116.1,7.2
pretzels,115.0,3.0,0.9,24.1,1.0
potato raw,164.0,4.3,0.2,37.2,4.7
gatto di patate home made,202.0,0.0,9.4,4.0,0.0
baked potato,161.0,4.3,0.2,36.6,3.8
potato sticks,188.0,2.4,12.4,19.2,1.2
potato cooked,52.0,1.1,0.006,12.1,1.2
vivaldi potatoes sainsburys,23.0,0.0,0.1,0.0,0.0
potato ham chowder soup,192.0,6.5,12.5,13.4,1.4
russet potato raw,292.0,7.9,0.3,66.7,4.8
russet potato baked,290.0,7.9,0.4,64.1,6.9
french fries,13.0,0.2,0.4,2.2,0.2
potato scalloped,216.0,7.0,9.0,26.4,4.7
cottage fries,11.0,0.2,0.4,1.9,0.2
mashed potatoes,215.0,4.0,6.8,35.5,3.1
mashed potato with milk and butter,237.0,3.9,8.9,35.3,3.2
red potato raw,149.0,4.0,0.3,33.9,3.6
potato pancake,59.0,1.3,3.2,6.1,0.7
potato puffs,243.0,2.6,11.0,35.5,3.2
red potato baked,74.0,2.0,0.1,16.7,1.5
potatoes canned,132.0,3.6,0.3,29.7,4.2
potato skin raw,22.0,1.0,0.099,4.7,1.0
shoestring french fries,4.0,0.099,0.1,0.7,0.099
hash brown potato,144.0,1.4,9.0,15.3,1.4
baked chips lays,130.0,0.0,2.0,0.0,0.0
corn chips,162.0,1.9,10.0,17.2,1.2
nacho cheese tortilla chips low fat,90.0,2.4,1.0,18.5,1.8
corn chips barbecue,1036.0,13.9,64.7,111.3,10.3
corn chips unsalted,490.0,5.8,29.4,50.5,3.9
potato chips fat free,860.0,21.9,1.4,190.1,17.0
sweet chilli kettle baked chips,99.0,2.0,2.2,2.1,0.0
taro chips,11.0,0.049,0.6,1.6,0.2
